rut_jefe_cierre,id_instalacion,fecha_cierre,fecha_apertura
75295314-7,0,2010-09-23 20:03:35,2010-10-05 21:19:35
12842111-4,0,2013-11-19 16:55:12,2013-11-23 05:19:10
75295314-7,0,2020-04-09 12:02:33,2020-04-15 00:37:39
12842111-4,0,2011-11-10 12:49:16,2011-11-15 12:57:03
12842111-4,0,2018-09-16 10:03:13,2018-09-22 14:12:53
75295314-7,0,2013-02-12 03:19:00,2013-02-20 07:35:11
47981838-k,0,2011-12-27 00:26:02,2012-01-09 16:57:02
73842540-5,1,2013-10-16 04:47:09,2013-10-19 18:04:04
23407008-8,1,2013-11-22 19:16:11,2013-11-26 19:34:45
98683815-5,1,2020-04-04 09:03:33,2020-04-18 13:28:43
41704207-5,1,2017-03-22 03:24:07,2017-04-05 12:18:46
39038168-9,1,2010-02-24 02:12:15,2010-03-01 02:49:22
93840785-1,2,2011-07-26 06:38:35,2011-07-30 20:12:03
27626683-7,3,2013-11-11 11:55:36,2013-11-21 15:14:50
33078552-7,3,2010-05-28 18:20:46,2010-06-05 07:29:39
27626683-7,3,2013-11-26 02:03:40,2013-12-09 09:25:44
16264932-9,3,2015-12-04 16:58:32,2015-12-13 00:47:07
79861684-6,4,2012-11-17 08:57:36,2012-11-27 14:39:38
79861684-6,4,2012-12-16 10:47:41,2012-12-21 20:00:12
88094734-6,5,2016-04-05 08:51:32,2016-04-13 21:00:51
74580276-1,5,2015-06-30 20:00:11,2015-07-08 04:13:42
53609901-8,5,2020-09-01 00:24:55,2020-09-09 14:26:14
45453849-8,6,2012-03-03 13:11:39,2012-03-14 13:44:29
95541819-0,6,2010-06-09 06:00:13,2010-06-15 07:18:36
87282538-k,7,2014-11-03 04:31:43,2014-11-10 16:20:01
83538271-0,7,2018-09-26 03:40:10,2018-10-05 20:08:18
35480818-8,8,2010-02-17 15:41:54,2010-03-01 03:22:06
87631642-0,8,2010-12-05 13:56:56,2010-12-14 02:00:38
35480818-8,8,2017-08-25 03:16:03,2017-08-28 03:29:50
38629675-8,8,2018-07-09 05:12:53,2018-07-22 18:38:44
34352032-8,8,2016-09-02 06:25:32,2016-09-11 15:45:00
70106627-8,9,2010-07-22 06:07:05,2010-07-30 22:34:42
94384917-k,9,2014-08-24 17:29:23,2014-09-05 00:20:09
49326776-0,10,2015-08-11 11:40:43,2015-08-24 18:23:12
11118739-8,10,2014-01-21 19:00:16,2014-02-04 06:59:03
49326776-0,10,2019-11-13 17:12:01,2019-11-18 07:10:29
49326776-0,10,2014-10-31 09:13:35,2014-11-12 14:56:31
28060713-4,10,2010-12-13 14:04:26,2010-12-18 05:12:06
42723522-k,11,2018-03-01 14:19:31,2018-03-05 20:28:51
42723522-k,11,2012-06-15 19:13:48,2012-06-27 05:53:51
97996738-1,11,2012-09-27 12:15:23,2012-10-02 01:19:57
97996738-1,11,2015-06-27 13:18:02,2015-07-05 16:05:11
97996738-1,11,2018-07-11 07:23:10,2018-07-25 13:07:35
97996738-1,11,2017-06-20 02:06:40,2017-06-23 18:37:22
58557550-k,11,2012-07-07 06:37:18,2012-07-19 10:45:56
40538537-6,11,2017-11-26 19:11:31,2017-12-01 10:22:06
59260036-6,11,2011-09-05 16:18:37,2011-09-12 01:09:53
40538537-6,11,2020-05-04 17:20:31,2020-05-12 05:17:49
69265725-k,12,2010-04-21 03:02:20,2010-05-03 16:46:21
35685353-9,12,2013-05-22 18:13:39,2013-06-06 00:43:59
98544321-1,12,2020-08-02 02:00:27,2020-08-07 17:42:22
34572846-5,12,2016-12-12 11:14:57,2016-12-18 22:14:32
79459402-3,13,2020-07-21 17:41:52,2020-07-28 22:58:38
52176953-k,13,2011-05-14 08:41:02,2011-05-23 15:43:38
97675067-5,13,2016-05-20 15:35:44,2016-06-04 06:15:47
79459402-3,13,2015-02-22 22:59:18,2015-03-03 15:04:07
10544563-6,14,2011-07-16 00:49:01,2011-07-24 08:23:59
85297873-2,14,2010-11-05 09:08:47,2010-11-14 22:27:07
46787382-2,14,2014-09-10 14:29:48,2014-09-15 04:44:26
30741496-1,14,2016-09-27 16:28:44,2016-10-03 22:55:00
