rut,nombre,edad,sexo
46251263-5,Catalina Luna,90,F
92310665-0,Sergio Galaz,47,M
77837095-6,Catalina Patiño,55,F
66922079-0,Nicolas Henriquez,70,F
79464991-k,Magdalena Santibañez,74,M
22997103-4,Lisandro Pinto,42,F
61890115-7,Leonardo Bucarei,42,M
45347413-5,Sofia Peña,29,M
54864080-6,Valentina Gutierrez,75,M
86447590-6,Simoney Mora,26,M
45355149-0,Martin Bustos,54,M
19942007-0,Diego Caniullan,89,M
79263691-8,Yanara Carrasco,39,F
32165632-3,Karla Castillo,38,F
66760004-9,Yaimara Cisternas,83,M
49326776-0,Pamela Figueroa,91,F
97804380-1,Aritza Flores,67,F
83399209-0,Giordano Flores,20,M
86260284-6,Danae Gamboa,95,F
19209075-k,Diego Guajardo,74,F
31653150-4,Bayron Guzman,84,F
64100872-9,Gabriela Jimenez,26,M
72629258-2,Orlando Moraga,56,M
17263415-k,Matias Moreno,13,F
18208603-7,Matias Painequeo,85,F
90414316-2,Sayenn Pavez,26,F
16045471-7,Gonzalo Pino,88,F
28792266-3,Benjamin Quilacon,37,M
68353685-7,Millaray Ramos,56,M
99428020-1,Aaron Roa,83,F
24840265-2,Martin Rojas,66,M
79850677-3,Yael Salcedo,81,M
95741388-9,Caceres San,57,F
77210598-3,Lucas Santibañez,63,M
96187015-1,Luis Torres,57,F
68120110-6,Zithlali Ulloa,28,M
56619171-7,Javiera Vasquez,66,M
51616764-5,Jorge Zumelzu,15,F
60916764-5,Alan Aceiton,97,M
81252987-0,Paz Aguayo,41,F
59192155-k,Flores Al,67,M
41391265-2,Lucas Araya,81,M
76041278-3,Daniela Arriagada,75,F
78158392-8,Benjamin Barria,43,F
49995619-3,Franco Benavides,97,F
37156185-4,Genesis Cardenas,59,F
85410626-0,Sergio Cardenas,24,M
10116173-0,Antonio Carrasco,72,M
88757035-3,Ian Carrera,30,F
68583239-9,Barbara Carvajal,42,M
35492826-4,Ignacio Castillo,59,M
86683089-4,Alondra Chamorro,91,F
28320055-8,Francisca Colima,67,M
86043030-4,Constanza Conejeros,87,F
27604578-4,Ivanna Contreras,44,F
35412165-4,Martin Flores,78,F
80869010-1,Constanza Gomez,40,M
86555166-5,Franco Gomez,34,F
61036645-7,Javiera Grandon,10,M
40373818-2,Javier Hurtado,84,F
24149278-8,Lucas Jara,84,F
43161018-3,Benjamin Jeria,95,F
67938721-9,Felipe Jilberto,16,M
18768050-6,Constanza Jorquera,32,M
49881324-0,Javiera Lizama,54,M
36578275-k,Catalina Lopez,28,F
92505908-0,Isidora Loyola,83,M
16483997-4,Bruno Mardones,36,M
91957885-8,Antonella Molina,53,F
85930746-9,Escarlet Morales,31,M
43630977-5,Javier Moya,30,F
70876733-6,Xavier Oyarzun,62,M
36731956-9,Silvio Peralta,81,F
42127645-5,Yohao Portales,70,M
38158176-4,Cesia Ramos,85,F
48292072-1,Francisca Reyes,33,F
86434438-0,Benjamin Rodriguez,30,F
62974576-9,Juan Sanchez,86,F
71881591-6,Constanza Sepulveda,53,M
16670974-1,Lucas Vasquez,74,M
19027799-2,Matias Vega,52,M
36669949-k,Isidora Villarroel,98,F
58179139-9,Victoria Adasme,75,M
80146994-9,Alonso Agurto,41,F
34902561-2,Carlos Antifil,99,M
27811535-6,Maria Aranda,34,F
37653211-9,Ignacio Arias,17,M
78734770-3,Rocio Bernales,95,M
82260254-1,Amaro Bravo,70,F
92253121-8,Sebastian Bustos,34,M
53325503-5,Jacob Cartes,98,M
27423756-2,Martin Celis,84,M
56840142-5,Noelia Cid,21,M
99233768-0,Hugo Cordova,37,M
95541819-0,Rocio Cuello,30,M
61773216-5,Monserrat Echeverria,28,M
13635178-8,Fernando Escobar,14,M
93310611-k,Emily Farias,40,M
85073231-0,Isidora Fernandez,89,M
41601315-2,Antonella Garrido,49,F
98121429-3,Conzuelo Gonzales,82,M
80511365-0,Josefa Huaiquil,53,F
62815723-5,Millaray Jimenez,88,M
33734821-1,Alondra Llanquiman,30,M
25806104-7,Fernando Lopez,76,M
23514054-3,Valeria Martinez,74,F
72309503-4,Alexia Matus,18,F
48908396-5,Martin Neculman,51,F
71198104-7,Isidora Orellana,90,M
