rut,id_instalacion
55676647-9,0
12842111-4,0
79625227-8,0
47981838-k,0
75295314-7,0
35115737-2,0
97036167-7,1
23407008-8,1
98683815-5,1
54801563-4,1
41704207-5,1
39038168-9,1
73842540-5,1
92060023-9,1
21188032-5,2
92696219-1,2
52703981-9,2
61554580-5,2
33461543-k,2
89200986-4,2
93840785-1,2
37220030-8,2
89265324-0,2
16264932-9,3
18912034-6,3
64750606-2,3
11087572-k,3
33078552-7,3
46025545-7,3
45024924-6,3
67170407-k,3
81168161-k,3
27626683-7,3
98518861-0,4
91844038-0,4
40403791-9,4
45631604-2,4
79861684-6,4
20789297-1,4
68120110-6,5
88094734-6,5
91051274-9,5
74580276-1,5
88730119-0,5
59332921-6,5
96557795-5,5
95435510-1,5
87772349-6,5
53609901-8,5
19410523-1,5
18768050-6,6
95541819-0,6
95521769-1,6
45453849-8,6
97901764-2,6
15614052-k,6
47377094-6,6
53281073-6,6
83538271-0,7
75806614-2,7
88104231-2,7
87548946-1,7
58332136-5,7
87282538-k,7
59749734-2,7
87631642-0,8
34352032-8,8
35480818-8,8
38629675-8,8
70106627-8,9
69373271-9,9
94384917-k,9
63360085-6,9
60038263-2,9
38895795-6,9
64367868-3,9
49326776-0,10
26905798-k,10
48040287-1,10
28060713-4,10
63196577-6,10
11118739-8,10
42723522-k,11
40538537-6,11
59260036-6,11
58557550-k,11
97996738-1,11
13904984-5,11
70366259-5,11
16045471-7,12
34572846-5,12
98544321-1,12
35685353-9,12
69265725-k,12
82254885-7,12
79459402-3,13
52176953-k,13
97675067-5,13
10339840-1,13
46251263-5,14
45510769-5,14
13093741-1,14
30741496-1,14
72620651-1,14
20297901-7,14
62420431-k,14
85297873-2,14
10544563-6,14
46787382-2,14
45624249-9,14
32817993-8,15
67710168-7,15
18665525-7,15
20640357-8,15
56781936-1,15
93009498-6,15
44380500-1,15
93635199-9,15
31359212-k,15
53089483-5,16
10669832-5,16
86164302-6,16
16315937-6,16
37925650-3,16
26240285-1,16
87624695-3,16
58509457-9,17
46288331-5,17
16833235-1,17
80291272-2,17
96392316-3,17
69760987-3,17
81403585-9,17
84891139-9,17
73454838-3,17
45981588-0,18
82645956-5,18
53783913-9,18
49159506-k,18
70638696-3,18
12920124-k,18
21759577-0,19
72939187-5,19
91223172-0,19
82429778-9,19
89118524-3,19
48333719-1,19
14156767-5,19
50942616-3,19
44422964-0,20
32142510-0,20
78918085-7,20
96828461-4,20
74759859-2,21
34846808-1,21
82376572-k,21
56093204-9,21
80308047-k,21
35340502-0,21
79446327-1,22
63974341-1,22
68155764-4,22
83330704-5,22
57689116-4,23
28630079-0,23
52650167-5,23
38578737-5,23
32992512-9,24
52581344-4,24
69141385-3,24
34864642-7,24
44100123-1,24
59129614-0,24
53042462-6,25
56914123-0,25
96951878-3,25
25070905-6,25
42226798-0,25
59537115-5,25
50814284-6,25
95741388-9,26
97321798-4,26
43922451-7,26
15333675-k,26
31653150-4,27
40640800-0,27
80356838-3,27
47342099-6,27
44281327-2,27
72159761-k,27
36625090-5,27
69402733-4,27
66185512-6,27
74361473-9,27
25002692-7,27
59051717-8,27
84327091-3,27
14114400-6,28
49604231-k,28
24945173-8,28
83118985-1,28
94362008-3,28
92310665-0,29
28231652-8,29
33917878-k,29
49993665-6,29
80843691-4,29
54122700-8,29
55514185-8,30
83603309-4,30
33016426-3,30
14002078-8,30
45856781-6,30
90471139-k,31
22997103-4,32
99233768-0,32
10742402-4,32
20843742-9,32
22587614-2,32
29989393-6,32
25750021-7,32
82693313-5,32
98152080-7,32
88413708-k,32
25450277-4,32
94821886-0,33
56292778-6,33
91888069-0,33
78166652-1,33
13068977-9,33
97538963-4,33
88408240-4,33
83905334-7,34
95520055-1,34
31642814-2,34
55994808-k,34
13938471-7,34
14200344-9,34
55823148-3,35
21290952-1,35
31111145-0,35
66258468-1,35
23748548-3,35
61662429-6,35
21672114-4,35
74269105-5,35
90007582-0,35
41775238-2,35
70876733-6,36
80592689-9,36
29742884-5,36
48979148-k,36
85779616-0,36
10165029-4,36
58963604-k,36
40373818-2,37
41694611-6,37
78897889-8,37
19844189-9,37
79735673-5,37
22479749-4,37
34349789-k,37
97596735-2,37
36304600-2,37
25696685-9,37
82260254-1,38
73222374-6,38
42216276-3,38
69568679-k,38
88772168-8,38
65227086-7,38
76871405-3,38
49255740-4,38
18165501-1,38
59854747-5,38
37797879-k,38
62220169-0,39
24215497-5,39
58303600-8,39
43329730-k,39
77210598-3,40
95437335-5,40
